timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1780129717979,3034,Reserve Request,200,OK,Thread Group 1-17,text,true,,7393,231,40,40,https://blazedemo.com/reserve.php,3014,0,2732
1780129717780,3233,Reserve Request,200,OK,Thread Group 1-9,text,true,,7393,231,40,40,https://blazedemo.com/reserve.php,3213,0,2932
1780129717928,3085,Reserve Request,200,OK,Thread Group 1-15,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,3064,0,2789
1780129718476,2542,Reserve Request,200,OK,Thread Group 1-37,text,true,,7393,231,40,40,https://blazedemo.com/reserve.php,2527,0,2231
1780129717830,3211,Reserve Request,200,OK,Thread Group 1-11,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,3173,0,2873
1780129718352,2689,Reserve Request,200,OK,Thread Group 1-32,text,true,,7393,231,40,40,https://blazedemo.com/reserve.php,2667,0,2370
1780129717764,3279,Reserve Request,200,OK,Thread Group 1-5,text,true,,7393,231,40,40,https://blazedemo.com/reserve.php,3270,0,2940
1780129717765,3295,Reserve Request,200,OK,Thread Group 1-4,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,3277,0,2936
1780129718052,3009,Reserve Request,200,OK,Thread Group 1-20,text,true,,7393,231,40,40,https://blazedemo.com/reserve.php,2968,0,2650
1780129718130,2932,Reserve Request,200,OK,Thread Group 1-23,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,2892,0,2575
1780129717765,3297,Reserve Request,200,OK,Thread Group 1-3,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,3295,0,2934
1780129717765,3305,Reserve Request,200,OK,Thread Group 1-6,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,3277,0,2948
1780129718326,2744,Reserve Request,200,OK,Thread Group 1-31,text,true,,7393,231,40,40,https://blazedemo.com/reserve.php,2716,0,2373
1780129717764,3307,Reserve Request,200,OK,Thread Group 1-7,text,true,,7393,231,40,40,https://blazedemo.com/reserve.php,3301,0,2937
1780129718103,2975,Reserve Request,200,OK,Thread Group 1-22,text,true,,7393,231,40,40,https://blazedemo.com/reserve.php,2968,0,2609
1780129717805,3276,Reserve Request,200,OK,Thread Group 1-10,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,3266,0,2896
1780129718525,2570,Reserve Request,200,OK,Thread Group 1-39,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,2550,0,2201
1780129717902,3205,Reserve Request,200,OK,Thread Group 1-14,text,true,,7393,231,40,40,https://blazedemo.com/reserve.php,3193,0,2813
1780129718250,2857,Reserve Request,200,OK,Thread Group 1-28,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,2825,0,2450
1780129717764,3343,Reserve Request,200,OK,Thread Group 1-8,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,3318,0,2935
1780129718226,2887,Reserve Request,200,OK,Thread Group 1-27,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,2870,0,2505
1780129718377,2736,Reserve Request,200,OK,Thread Group 1-33,text,true,,7393,231,40,40,https://blazedemo.com/reserve.php,2705,0,2333
1780129717953,3161,Reserve Request,200,OK,Thread Group 1-16,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,3149,0,2767
1780129718178,2935,Reserve Request,200,OK,Thread Group 1-25,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,2912,0,2540
1780129718504,2610,Reserve Request,200,OK,Thread Group 1-38,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,2597,0,2225
1780129718403,2717,Reserve Request,200,OK,Thread Group 1-34,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,2712,0,2319
1780129718153,2971,Reserve Request,200,OK,Thread Group 1-24,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,2960,0,2574
1780129717764,3360,Reserve Request,200,OK,Thread Group 1-1,text,true,,7393,231,40,40,https://blazedemo.com/reserve.php,3343,0,2938
1780129718427,2714,Reserve Request,200,OK,Thread Group 1-35,text,true,,7393,231,40,40,https://blazedemo.com/reserve.php,2692,0,2276
1780129718027,3114,Reserve Request,200,OK,Thread Group 1-19,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,3094,0,2690
1780129718203,2939,Reserve Request,200,OK,Thread Group 1-26,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,2916,0,2521
1780129718078,3067,Reserve Request,200,OK,Thread Group 1-21,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,3064,0,2629
1780129717877,3269,Reserve Request,200,OK,Thread Group 1-13,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,3259,0,2851
1780129717764,3382,Reserve Request,200,OK,Thread Group 1-2,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,3372,0,2964
1780129718276,2877,Reserve Request,200,OK,Thread Group 1-29,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,2871,0,2449
1780129718301,2852,Reserve Request,200,OK,Thread Group 1-30,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,2846,0,2431
1780129718003,3155,Reserve Request,200,OK,Thread Group 1-18,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,3150,0,2724
1780129718452,2708,Reserve Request,200,OK,Thread Group 1-36,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,2706,0,2279
1780129718551,2612,Reserve Request,200,OK,Thread Group 1-40,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,2608,0,2176
1780129717852,3330,Reserve Request,200,OK,Thread Group 1-12,text,true,,7389,231,40,40,https://blazedemo.com/reserve.php,3324,0,2870
1780129723020,286,Purchase Request,200,OK,Thread Group 1-17,text,true,,6715,281,40,40,https://blazedemo.com/purchase.php,270,0,0
1780129723020,297,Purchase Request,200,OK,Thread Group 1-9,text,true,,6715,281,40,40,https://blazedemo.com/purchase.php,273,0,0
1780129723064,273,Purchase Request,200,OK,Thread Group 1-3,text,true,,6715,281,40,40,https://blazedemo.com/purchase.php,257,0,0
1780129723064,294,Purchase Request,200,OK,Thread Group 1-20,text,true,,6715,281,40,40,https://blazedemo.com/purchase.php,280,0,0
1780129723080,288,Purchase Request,200,OK,Thread Group 1-22,text,true,,6715,281,40,40,https://blazedemo.com/purchase.php,269,0,0
1780129723020,398,Purchase Request,200,OK,Thread Group 1-15,text,true,,6715,281,40,40,https://blazedemo.com/purchase.php,384,0,0
1780129723115,306,Purchase Request,200,OK,Thread Group 1-33,text,true,,6715,281,40,40,https://blazedemo.com/purchase.php,279,0,0
1780129723020,409,Purchase Request,200,OK,Thread Group 1-37,text,true,,6715,281,40,40,https://blazedemo.com/purchase.php,384,0,0
1780129723115,327,Purchase Request,200,OK,Thread Group 1-27,text,true,,6715,281,40,40,https://blazedemo.com/purchase.php,289,0,0
1780129723108,334,Purchase Request,200,OK,Thread Group 1-14,text,true,,6719,281,40,40,https://blazedemo.com/purchase.php,296,0,0
1780129723063,379,Purchase Request,200,OK,Thread Group 1-23,text,true,,6715,281,40,40,https://blazedemo.com/purchase.php,353,0,0
1780129723073,372,Purchase Request,200,OK,Thread Group 1-7,text,true,,6715,281,40,40,https://blazedemo.com/purchase.php,345,0,0
1780129723044,414,Purchase Request,200,OK,Thread Group 1-5,text,true,,6715,281,40,40,https://blazedemo.com/purchase.php,398,0,0
1780129723117,355,Purchase Request,200,OK,Thread Group 1-25,text,true,,6715,281,40,40,https://blazedemo.com/purchase.php,326,0,0
